ID,Name,Address,City,State,Zip,PhoneNumber,Website,Closed,Category,Service,About,WorkHours
1,Bean's Greenwood Marina Inc,"21945 Minnetonka Blvd, Chanhassen, MN 55331",Chanhassen,MN,55331,(952) 474-7942,https://www.greenwoodmarina.com/,,Boat Repair,"Automotive, Marinas","Our marina has 30 years of experience offering boaters all they need to fully enjoy their time on Lake Minnetonka. We understand that your boat is an investment and we want to help you protect it. Proper boat storage is vital in keeping your water craft in the best condition. Our covered slips will protect your boat from the wind, rain and sun. We also provide a number of boat services such as boat detailing, propeller repair and winterizing services. Our gas dock is the largest on the lake with three pumps available for your convenience. While you're fueling, pick up some ice, pop, snacks and sun block. We also have a wide range of maintenance products including oil, light bulbs and batteri.",Mon-Sun 9:00 am - 9:00 pm
2,Kent Island Marine,"216 Old Love Point Rd, Normans, MD 21666",Normans,MD,21666,(410) 643-6500,https://www.kentislandmarine.com/,Sun,Marinas Services,Automotive,"At Kent Island Marine Supply, we are your best source for Quicksilver Marine Parts and Supplies. Mercruiser engines and parts for all makes. New Venture trailers and used boat trailers with parts for all makes. We have everything for those who choose to DIY!","Mon-Fri 8:30 am - 5:00 pm, Sat 9:00 am - 1:00 pm"
3,Whites Landing & Marina,"3460 W Silver Lake Rd, Fenton, MI 48430",Fenton,MI,48430,(810) 629-2905,https://www.whiteslandingmarina.com/,Sat-Sun,Marinas Services,Automotive,"White's Landing is a full service boat dealer in Fenton, MI. We sell Bennington Pontoons and used boats of all kinds.",Mon-Fri 9:00 am - 6:00 pm
4,Ted & Sons Forked River Marina,"129 Bay Ave, Forked River, NJ 08731",Forked River,NJ,8731,(609) 693-2185,https://www.mercurymarine.com/,,Marinas Services,Automotive,,"Mon-Fri 9:00 am - 6:00 pm, Sat 9:00 am - 5:00 pm, Sun 10:00 am - 2:00 pm"
5,David Beaton & Sons,"72 Beaton Rd, Brick, NJ 08723",Brick,NJ,8723,(732) 477-0259,http://www.davidbeaton.com/,Sun,Marinas Services,Automotive,,"Mon-Fri 8:30 am - 4:30 pm, Sat 8:30 am - 12:00 pm"
6,Hilltop Marina,"1802 Hilltop Avenue, Middle River, MD 21221",Middle River,MD,21221,(410) 780-1900,,,Marinas Services,Automotive,"We offer great boat docking with deep water slips. Sailboaters this marina is for you. The sunsets are beautiful and the marina is very serene. We are located by boat on Middle River and Hopkins Creek.....just 20 minutes from the Chesapeake Bay. By vehicle we are two miles from I95 and the Baltimore Beltway 695. Owners Donald and Roberta Fiedler Sr, would love for you to call to schedule your appointment. Our email is hmarina@copper.net/ telephone 410-780-1900 leave a message we will return your call within 24 hours.",Mon-Sun 10:00 am - 7:00 pm
7,Nichols Yacht Yard,"500 Rushmore Ave, Ste 1, Mamaroneck, NY 10543",Mamaroneck,NY,10543,(914) 698-6065,http://www.nicholsyacht.com/,Sun,Marinas Services,Automotive,,"Mon-Fri 9:00 am - 5:00 pm, Sat 10:00 am - 3:00 pm"
8,Pleasant Street Wharf,"160 Pleasant Street, 160 Pleasant St, Belleville, RI 02852",Belleville,RI,2852,(401) 294-2791,http://www.pswri.com/,,Marinas Services,Automotive,,Mon-Sun 12:00 am - Midnight
9,Gulf Coast Marina,"135 Shark Ln, Freeport, TX 77541",Freeport,TX,77541,(979) 331-5570,http://ww16.gulfcoastmarina.com/,,Marinas Services,Automotive,"Gulf Coast Marina is located at 135 Shark Ln, Freeport, TX. This business specializes in Marinas.",Mon-Sun 6:00 am - 6:00 pm
10,Georgetown Drystack Marina,"18 St James St, Georgetown, SC 29440",Georgetown,SC,29440,(843) 546-1700,http://www.georgetowndrystackmarina.com/,,Marinas Services,Automotive,,Mon-Sun 8:00 am - 5:00 pm
11,Lakes Region Marine & Sport,"739 Shapleigh Corner Rd, Shapleigh, ME 04076",Shapleigh,ME,4076,(207) 636-4580,,Sun,Marinas Services,Automotive,,Mon-Fri 8:00 am - 5:00 pm
12,Village Cove Marina,"900 West Savidge Street, Grand Haven, MI 49456",Grand Haven,MI,49456,(616) 846-7730,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
13,Wexford Harbourmaster,"113 Wexford Club Drive, Hilton Head Island, SC 29928",Hilton Head Island,SC,29928,(843) 686-8813,https://www.wexfordhiltonhead.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
14,Kitto's Marina,"23173 Kitto Marina Drive, Dexter, NY 13634",Dexter,NY,13634,(315) 639-4755,,,Marinas Services,Automotive,,Mon-Sat 8:00 am - 8:00 pm
